product,average_quantity_sold,total_quantity_sold,total_revenue,estimated_price_per_unit,projected_60_day_quantity,projected_60_day_revenue,recommended_inventory_order,reason
Aman Puff Pastry,14.0,14.0,48.86,3.4899999999999998,840.0,2931.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aman Sheermal 3 pcs,6.0,6.0,23.94,3.99,360.0,1436.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amaranth Leaves/Lb,4.11,4.11,16.4,3.9902676399026755,246.60000000000002,983.9999999999999,271.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ambar Kumkum 11*1,3.0,3.0,11.97,3.99,180.0,718.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ambika Appalam No.3,26.0,26.0,64.74,2.4899999999999998,1560.0,3884.3999999999996,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ambika Papad,54.0,54.0,107.46,1.99,3240.0,6447.6,3564.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
American Eggplant /Each,97.34,97.34,157.1,1.6139305527018697,5840.400000000001,9426.0,6424.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
American eggplant,29.0,29.0,49.01,1.69,1740.0,2940.6,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amla Hair Oil 4Oz,5.0,5.0,54.95,10.99,300.0,3297.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Banana Chips 285G,5.0,5.0,14.95,2.9899999999999998,300.0,896.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Country 285 Gms,29.0,29.0,72.21,2.4899999999999998,1740.0,4332.599999999999,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Idli Rice 20lb,3.0,3.0,45.97,15.323333333333332,180.0,2758.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Kerala Mixture 285G,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Kitchen Ring Mururku 200g,14.0,14.0,34.86,2.4899999999999998,840.0,2091.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma Plantain Chips 200G,19.0,19.0,56.81,2.99,1140.0,3408.6000000000004,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma sona masoori rice 40LB,26.0,26.0,779.74,29.990000000000002,1560.0,46784.4,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Kerala Murukku 200G,9.0,9.0,22.41,2.49,540.0,1344.6000000000001,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Masala Dosa 450G,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Masala Idli 280G,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Medu Vada 360G,2.0,2.0,5.98,2.99,120.0,358.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"Amma's Mini Idli ,Sambar 520G",1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Mix Vegetable Uttapam,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Rava Idli With Chutney,5.0,5.0,32.45,6.49,300.0,1947.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma's Sambar 284G,7.0,7.0,13.93,1.99,420.0,835.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amma'smedu Vada With Chutney,7.0,7.0,45.43,6.49,420.0,2725.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ammas Garlic Murukku 200G,8.0,8.0,19.92,2.49,480.0,1195.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ammas Kitchen 285Gm,36.0,36.0,107.64,2.99,2160.0,6458.400000000001,2376.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ammas Madras Mixture,1.0,1.0,2.49,2.49,60.0,149.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ammask Sona Masoori Rice20L,70.0,70.0,1119.29,15.989857142857142,4200.0,67157.4,4620.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amritsari Kulcha 340G,2.0,2.0,7.98,3.99,120.0,478.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Badam Shake,16.0,16.0,31.84,1.99,960.0,1910.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Butter,57.0,57.0,113.43,1.9900000000000002,3420.0,6805.800000000001,3762.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Butter - 3.5 Oz,68.0,68.0,155.72,2.29,4080.0,9343.2,4488.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Butter -500Gm,43.0,43.0,343.57,7.99,2580.0,20614.2,2838.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Butter Unsalted 500Gm,34.0,34.0,271.66,7.990000000000001,2040.0,16299.600000000002,2244.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cheese Block 1Kg,8.0,8.0,111.92,13.99,480.0,6715.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cheese Chiplet 200Gm,42.0,42.0,251.58,5.99,2520.0,15094.800000000001,2772.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cheese Plain,12.0,12.0,47.88,3.99,720.0,2872.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cheese Slices 200Gm,116.0,116.0,578.84,4.99,6960.0,34730.4,7656.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cow Ghee,17.0,17.0,271.83,15.989999999999998,1020.0,16309.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cow Ghee/ 1Lt,7.0,7.0,111.93,15.99,420.0,6715.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Cow Milk Butter Salted,28.0,28.0,195.72,6.99,1680.0,11743.2,1848.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Dark Chocolate 150G,7.0,7.0,34.93,4.99,420.0,2095.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Dark Chocolate mini,32.0,32.0,79.18,2.474375,1920.0,4750.8,2112.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Fruit N Nuts 150G,7.0,7.0,34.93,4.99,420.0,2095.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Ghee 1Lt (905G),22.0,22.0,351.78,15.989999999999998,1320.0,21106.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Gold 1 Gal,871.0,871.0,5207.38,5.978622273249139,52260.0,312442.80000000005,57486.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Hazelnut chocolate 150g,10.0,10.0,49.9,4.99,600.0,2994.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Lassi,1.0,1.0,3.99,3.99,60.0,239.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Malai Paneer 200G,5.0,5.0,19.95,3.9899999999999998,300.0,1197.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Masti Butter Milk 200Ml,18.0,18.0,35.82,1.99,1080.0,2149.2,1188.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Milk Chocolates 150G,1.0,1.0,4.99,4.99,60.0,299.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Milk Slim & Trim 2%,265.0,265.0,1322.35,4.989999999999999,15900.0,79340.99999999999,17490.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Pure Cow Ghee 452G,21.0,21.0,167.79,7.989999999999999,1260.0,10067.4,1386.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Pure Ghee 454G,24.0,24.0,191.76,7.989999999999999,1440.0,11505.599999999999,1584.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Rosogolla 1kg,20.0,20.0,119.8,5.99,1200.0,7188.0,1320.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Shakti 1 Gal,156.09,156.09,933.98,5.98359920558652,9365.4,56038.799999999996,10302.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Spiced Butter Milk 1Lt,36.0,36.0,179.64,4.989999999999999,2160.0,10778.399999999998,2376.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Spreadcheese Pepper 200g,6.0,6.0,23.94,3.99,360.0,1436.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul Taaza 1 Gal,305.0,305.0,1521.95,4.99,18300.0,91317.0,20130.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul cool drink,39.0,39.0,77.61,1.99,2340.0,4656.6,2574.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul honey 250g,18.0,18.0,71.82,3.9899999999999998,1080.0,4309.2,1188.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul masti yogurt 2.2LB,122.0,122.0,608.78,4.99,7320.0,36526.8,8052.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul milk Chocolates mini,14.0,14.0,34.86,2.4899999999999998,840.0,2091.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Amul milk velvet chocolate 150g,6.0,6.0,29.94,4.99,360.0,1796.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Anand Bhogh Boondi Laddu,1.0,1.0,7.99,7.99,60.0,479.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ankur Copper Water Bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Apna Tamarind Paste 200G,10.0,10.0,14.9,1.49,600.0,894.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Appam Batter,6.0,6.0,29.94,4.99,360.0,1796.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Appam Idiyappam Pathiri,7.0,7.0,34.93,4.99,420.0,2095.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Apple/Each,1058.0,1058.0,835.82,0.79,63480.0,50149.200000000004,69828.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ara Andhra Mustard Seeds 200Gm,16.0,16.0,31.84,1.99,960.0,1910.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ara Bay Leaf,16.0,16.0,31.84,1.99,960.0,1910.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ara Cloves Whole,5.0,5.0,39.95,7.99,300.0,2397.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Araku Boomi Instant Coffee 100Gm,9.0,9.0,44.91,4.989999999999999,540.0,2694.5999999999995,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Arbi / Lb,435.16,435.16,772.85,1.776013420351135,26109.600000000002,46371.0,28721.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aroy - D Coconut Milk 400Ml,46.0,46.0,122.24,2.657391304347826,2760.0,7334.4,3036.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Artu Angel Hair Pistachio,31.0,31.0,216.69,6.99,1860.0,13001.4,2046.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Artu Angel hair blue,28.0,28.0,195.72,6.99,1680.0,11743.2,1848.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Artu Angel hair pink chocolate,18.0,18.0,125.82,6.989999999999999,1080.0,7549.199999999999,1188.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Arya Quinoa Batter 30oz,1.0,1.0,7.99,7.99,60.0,479.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ashoka Ginger Garlic Paste25Oz,2.0,2.0,11.98,5.99,120.0,718.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ashoka Mini Punjab Samosa 45Pc,6.0,6.0,83.94,13.99,360.0,5036.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ashoka Mini Punjabi Samosa12Pc,3.0,3.0,20.97,6.989999999999999,180.0,1258.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ashoka Punjabi Samosa 8Pc,1.0,1.0,6.99,6.99,60.0,419.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Asv Aata With Millets 10 Lb,22.0,22.0,415.78,18.89909090909091,1320.0,24946.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Atta Chalni #7,1.0,1.0,5.99,5.99,60.0,359.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avacado Each,291.0,291.0,229.31,0.7880068728522337,17460.0,13758.6,19206.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avani Gingelly Oil,10.0,10.0,79.9,7.99,600.0,4794.0,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avani Gingelly Oil 5L,1.0,1.0,32.99,32.99,60.0,1979.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avani Kachi Ghani Mustard oil,4.0,4.0,15.96,3.99,240.0,957.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avani Peanut Oil 1L,33.0,33.0,247.17,7.489999999999999,1980.0,14830.199999999999,2178.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Avani Peanut Oil 500GM,13.0,13.0,51.87,3.9899999999999998,780.0,3112.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ayur Cold Wax,2.0,2.0,5.98,2.99,120.0,358.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ayur Raja hena,5.0,5.0,14.95,2.9899999999999998,300.0,896.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Ayur shampoo amla(500ml),1.0,1.0,5.99,5.99,60.0,359.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
B Treat Hazelnut Wafers,27.0,27.0,53.73,1.99,1620.0,3223.8,1782.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
B Treat Orange Waffers,19.0,19.0,37.81,1.9900000000000002,1140.0,2268.6000000000004,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
B&P Custard Powder 100G,50.0,50.0,99.5,1.99,3000.0,5970.0,3300.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
B&P Custard Powder 500G,1.0,1.0,3.99,3.99,60.0,239.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BABY CARROTS,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI CASHEW PIECES 2LB,8.0,8.0,103.92,12.99,480.0,6235.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI FINE CAMPHOR/100GM,13.0,13.0,51.87,3.9899999999999998,780.0,3112.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI KASHMIRI RAJMA 2LB,3.0,3.0,11.97,3.99,180.0,718.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI RED KIDNEY BEANS 4LB,2.0,2.0,13.98,6.99,120.0,838.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI VAAL PAPDI BIG 2LB,1.0,1.0,3.99,3.99,60.0,239.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BALAJI WAFERS 150G,4.0,4.0,7.96,1.99,240.0,477.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BAMBINO BESAN LADDU,7.0,7.0,27.93,3.9899999999999998,420.0,1675.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BAMBINO BM HALWA 200GM,13.0,13.0,51.87,3.9899999999999998,780.0,3112.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BAMBINO ROAST VERMICELLI,4.0,4.0,15.96,3.99,240.0,957.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BAMBINO VERMICELLI 600G,5.0,5.0,19.95,3.9899999999999998,300.0,1197.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BANSI PURE COW GHEE 15 OZ,9.0,9.0,71.91,7.989999999999999,540.0,4314.599999999999,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BB ANDHRA MIXTURE 170G,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BB ANJEER DRINK 200G,1.0,1.0,3.99,3.99,60.0,239.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BB GULAB JAMUN 200G,4.0,4.0,5.16,1.29,240.0,309.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BB KHARA BOONDI 170G,6.0,6.0,11.94,1.99,360.0,716.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BB VERMICELLI MIX 200G,3.0,3.0,3.87,1.29,180.0,232.20000000000002,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BHAIYAJI'S PANI PURI,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BITTERMELON INDIAN,449.54,449.54,1223.1,2.720781243048449,26972.4,73385.99999999999,29670.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S ELACHI RASMALAI 908G,2.0,2.0,23.98,11.99,120.0,1438.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S KAJU KATLI 350G,1.0,1.0,9.99,9.99,60.0,599.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S KAJU PISTA ROLL 350G,3.0,3.0,32.97,10.99,180.0,1978.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S KESAR RASMALI 850G,1.0,1.0,11.99,11.99,60.0,719.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S KHOA BARFI 350G,1.0,1.0,9.99,9.99,60.0,599.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S KHOA PERA 350G,1.0,1.0,9.99,9.99,60.0,599.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S MAKHANI 250G,1.0,1.0,7.99,7.99,60.0,479.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S MANGO RASMALAI 850G,1.0,1.0,11.99,11.99,60.0,719.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S MILK CAKE 350G,4.0,4.0,39.96,9.99,240.0,2397.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRAR'S MOTICHOOR LADDO 350G,3.0,3.0,23.97,7.989999999999999,180.0,1438.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRITANNIA BOURBON 400G,19.0,19.0,66.31,3.49,1140.0,3978.6000000000004,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRITANNIA GOL MALL 110G,7.0,7.0,6.93,0.99,420.0,415.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
BRu INSTANT POUCH RICH AROMA 200G,22.0,22.0,321.78,14.626363636363635,1320.0,19306.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Baby Banana,109.14,109.14,217.2,1.9901044529961516,6548.4,13031.999999999998,7203.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Baby Guava,3.98,3.98,13.89,3.4899497487437188,238.8,833.4000000000001,263.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Baby Guava / Lb,2.53,2.53,7.56,2.9881422924901186,151.79999999999998,453.59999999999997,167.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Chicken Bir Mas-100Gm,3.0,3.0,5.97,1.99,180.0,358.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Chicken Masala 100G,10.0,10.0,19.9,1.9899999999999998,600.0,1193.9999999999998,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Kasuri Methi 25Gm,8.0,8.0,7.92,0.99,480.0,475.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Paneer Butter Masala,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Pani Puri Masala(100G),5.0,5.0,9.95,1.9899999999999998,300.0,596.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Punjabi Chhole Masala 100g,12.0,12.0,23.88,1.99,720.0,1432.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Badshah Surti Jiralu(100g),1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bajara Fryums 200,2.0,2.0,4.98,2.49,120.0,298.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Abil,4.0,4.0,7.96,1.99,240.0,477.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Camphor,17.0,17.0,50.83,2.9899999999999998,1020.0,3049.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Chef Choice Basmati 10L,3.0,3.0,47.97,15.99,180.0,2878.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Cornflakes Mixture340g,15.0,15.0,59.85,3.99,900.0,3591.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Cotton Wicks,8.0,8.0,15.92,1.99,480.0,955.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Crunchem Cream Onion,4.0,4.0,7.96,1.99,240.0,477.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Crunchex,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Crunchy Masala Boondhi 340g,6.0,6.0,22.94,3.8233333333333337,360.0,1376.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Fine Camphor/50Gm,19.0,19.0,56.81,2.99,1140.0,3408.6000000000004,1254.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Gangajal,5.0,5.0,14.95,2.9899999999999998,300.0,896.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Gippi Masala Noodles 280g,8.0,8.0,31.92,3.99,480.0,1915.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Gopi Chandan Teeka,6.0,6.0,17.94,2.99,360.0,1076.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Haldi 25g,5.0,5.0,9.95,1.9899999999999998,300.0,596.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Haldi Kumkum Big Combo,15.0,15.0,29.85,1.99,900.0,1791.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Kala Till 50G,2.0,2.0,3.18,1.59,120.0,190.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Kesar Chandan,2.0,2.0,7.98,3.99,120.0,478.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Kumkum jar 50gm,9.0,9.0,17.91,1.99,540.0,1074.6,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Laxmi Photo 12*16,1.0,1.0,25.99,25.99,60.0,1559.3999999999999,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Mala Tulsi Kanthi Red,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Masala Shing 40G,16.0,16.0,15.84,0.99,960.0,950.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Mix Dal 2Lb,6.0,6.0,23.94,3.99,360.0,1436.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Panchratna Dhoop,2.0,2.0,4.98,2.49,120.0,298.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Pooja Nuts Tukda/200G,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Pop Ring 65G,1.0,1.0,1.49,1.49,60.0,89.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Pure Ghee Wicks,6.0,6.0,23.94,3.99,360.0,1436.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Sev Murmura/250g,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Sindoor Kesar,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Sindoor Red,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Smokeless Camphor,13.0,13.0,64.87,4.99,780.0,3892.2000000000003,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji South Indian Crunchy 340g,12.5,25.0,99.75,3.99,750.0,2992.5,825.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Turmeric Finger 5Pc,7.0,7.0,13.04,1.8628571428571428,420.0,782.4,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Tutti Fruity Yellow500G,2.0,2.0,9.98,4.99,120.0,598.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Urad Gota 4lb,3.0,3.0,20.97,6.989999999999999,180.0,1258.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Balaji Vibhuti jar 25G,3.0,3.0,4.47,1.49,180.0,268.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambina Badam Drink 200g,11.0,11.0,14.19,1.29,660.0,851.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino BUTTER MURUKU 170G,5.0,5.0,9.95,1.9899999999999998,300.0,596.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Foxtail Millet Drink 200g,1.0,1.0,1.29,1.29,60.0,77.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Gongura Paste 300g,4.0,4.0,11.96,2.99,240.0,717.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Instant Rava Dosa 200g,9.0,9.0,11.61,1.29,540.0,696.6,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Plain Vermicelli 1Kg,2.0,2.0,6.98,3.49,120.0,418.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Roasted Vermicelli 350,41.0,41.0,102.59,2.5021951219512197,2460.0,6155.400000000001,2706.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Tomato Muruku 170G,8.0,8.0,15.92,1.99,480.0,955.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Bambino Upma 200G,4.0,4.0,5.16,1.29,240.0,309.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
